Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description
Annual indices and growth rates (%) of industrial production as per use-based classification upto August 2020,IIP,Industrial Statistics,All India,Monthly,Aug 2020,12 Oct 2020,IIPMFY21107AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_aug20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto August 2020,IIP,Industrial Statistics,All India,Monthly,Aug 2020,12 Oct 2020,IIPMFY21108AUG,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_aug20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto July 2020,IIP,Industrial Statistics,All India,Monthly,Jul 2020,11 Sep 2020,IIPMFY21121JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jul20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto July 2020,IIP,Industrial Statistics,All India,Monthly,Jul 2020,11 Sep 2020,IIPMFY21122JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jul20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto July 2020,IIP,Industrial Statistics,All India,Monthly,Jul 2020,11 Sep 2020,IIPMFY21123JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jul20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto July 2020,IIP,Industrial Statistics,All India,Monthly,Jul 2020,11 Sep 2020,IIPMFY21124JUL,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jul20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto June 2020,IIP,Industrial Statistics,All India,Monthly,Jun 2020,12 Aug 2020,IIPMFY21125JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jun20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto June 2020,IIP,Industrial Statistics,All India,Monthly,Jun 2020,12 Aug 2020,IIPMFY21126JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jun20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto June 2020,IIP,Industrial Statistics,All India,Monthly,Jun 2020,12 Aug 2020,IIPMFY21127JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jun20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto June 2020,IIP,Industrial Statistics,All India,Monthly,Jun 2020,12 Aug 2020,IIPMFY21128JUN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_jun20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto May 2020,IIP,Industrial Statistics,All India,Monthly,May 2020,10 Jul 2020,IIPMFY21133MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_may20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto May 2020,IIP,Industrial Statistics,All India,Monthly,May 2020,10 Jul 2020,IIPMFY21134MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_may20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto May 2020,IIP,Industrial Statistics,All India,Monthly,May 2020,10 Jul 2020,IIPMFY21135MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_may20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto May 2020,IIP,Industrial Statistics,All India,Monthly,May 2020,10 Jul 2020,IIPMFY21136MAY,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_may20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto April 2020,IIP,Industrial Statistics,All India,Monthly,Apr 2020,12 Jun 2020,IIPMFY21101APR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_apr20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto April 2020,IIP,Industrial Statistics,All India,Monthly,Apr 2020,12 Jun 2020,IIPMFY21102APR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_apr20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto April 2020,IIP,Industrial Statistics,All India,Monthly,Apr 2020,12 Jun 2020,IIPMFY21103APR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_apr20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto April 2020,IIP,Industrial Statistics,All India,Monthly,Apr 2020,12 Jun 2020,IIPMFY21104APR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2020-21/IndicesIIP2011-12Monthly_annual_apr20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto March 2020,IIP,Industrial Statistics,All India,Monthly,Mar 2020,12 May 2020,NASAFY16049MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_mar20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto March 2020,IIP,Industrial Statistics,All India,Monthly,Mar 2020,12 May 2020,NASAFY16050MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_mar20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto March 2020,IIP,Industrial Statistics,All India,Monthly,Mar 2020,12 May 2020,NASAFY16051MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_mar20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto March 2020,IIP,Industrial Statistics,All India,Monthly,Mar 2020,12 May 2020,NASAFY16052MAR,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_mar20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto February 2020,IIP,Industrial Statistics,All India,Monthly,Feb 2020,10 Apr 2020,IIPMFY20153FEB,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_feb20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto February 2020,IIP,Industrial Statistics,All India,Monthly,Feb 2020,10 Apr 2020,IIPMFY20154FEB,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_feb20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto February 2020,IIP,Industrial Statistics,All India,Monthly,Feb 2020,10 Apr 2020,IIPMFY20155FEB,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_feb20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto February 2020,IIP,Industrial Statistics,All India,Monthly,Feb 2020,10 Apr 2020,IIPMFY20156FEB,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_feb20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto January 2020,IIP,Industrial Statistics,All India,Monthly,Jan 2020,12 Mar 2020,IIPMFY20157JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_jan20_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto January 2020,IIP,Industrial Statistics,All India,Monthly,Jan 2020,12 Mar 2020,IIPMFY20158JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_jan20_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto January 2020,IIP,Industrial Statistics,All India,Monthly,Jan 2020,12 Mar 2020,IIPMFY20159JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_jan20_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto January 2020,IIP,Industrial Statistics,All India,Monthly,Jan 2020,12 Mar 2020,IIPMFY20160JAN,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_jan20_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto December 2019,IIP,Industrial Statistics,All India,Monthly,Dec 2019,12 Feb 2020,IIPMFY20161DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_dec19_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto December 2019,IIP,Industrial Statistics,All India,Monthly,Dec 2019,12 Feb 2020,IIPMFY20162DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_dec19_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto December 2019,IIP,Industrial Statistics,All India,Monthly,Dec 2019,12 Feb 2020,IIPMFY20163DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_dec19_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto December 2019,IIP,Industrial Statistics,All India,Monthly,Dec 2019,12 Feb 2020,IIPMFY20164DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_dec19_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto November 2019,IIP,Industrial Statistics,All India,Monthly,Nov 2019,10 Jan 2020,NASAFY16057NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_nov19_NIC2d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto November 2019,IIP,Industrial Statistics,All India,Monthly,Nov 2019,10 Jan 2020,NASAFY16058NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_nov19_NIC2d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Annual indices and growth rates (%) of industrial production as per use-based classification upto November 2019,IIP,Industrial Statistics,All India,Monthly,Nov 2019,10 Jan 2020,NASAFY16059NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_nov19_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
Monthly indices and growth rates of industrial production as per use-based classification upto November 2019,IIP,Industrial Statistics,All India,Monthly,Nov 2019,10 Jan 2020,NASAFY16060NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2019-20/IndicesIIP2011-12Monthly_annual_nov19_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.
