,Title,Product,Category,Geography,Frequency,Reference Period,Release Date,Table No,Download URL,Data Source,Description,id,search_text
11,"ANNUAL ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,2025-02-28,AEQEAFY2509QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Annual_Current_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.,11,annual estimates of gdp at current prices for 2011 12 to 2024 25 2011 12 series quarterlyadvanceprovisional gdp estimates are released through a press note estimates of key macro economic aggregates are given in tables annexed to the press note
12,"QUARTERLY ESTIMATES OF GDP AT CURRENT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Quarterly,2024-25,2025-02-28,AEQEAFY2510QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Quarterly_Current_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.,12,quarterly estimates of gdp at current prices for 2011 12 to 2024 25 2011 12 series quarterlyadvanceprovisional gdp estimates are released through a press note estimates of key macro economic aggregates are given in tables annexed to the press note
13,"ANNUAL ESTIMATES OF GDP AT CONSTANT PRICES (FOR 2011-12 TO 2024-25), 2011-12 SERIES",NAS,National Accounts Statistics,All India,Annual,2024-25,2025-02-28,AEQEAFY2511QTR,https://esankhyiki.mospi.gov.in/datacatalogue/NASdata/AEQE/AEQE_as%20on%2028.02.2025/Statement_Annual_Constant_28.02.2025.xlsx,"National Accounts Division, MoSPI",Quarterly/Advance/Provisional GDP estimates are released through a press note. Estimates of key macro-economic aggregates are given in tables annexed to the press note.,13,annual estimates of gdp at constant prices for 2011 12 to 2024 25 2011 12 series quarterlyadvanceprovisional gdp estimates are released through a press note estimates of key macro economic aggregates are given in tables annexed to the press note
14,"Number of Urban Frame Survey (UFS) blocks, households and persons surveyed by age and gender for all India",PLFS,Labour Statistics,All India,Quarterly,2024-25,2025-02-18,PLFQAY24019ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_1.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released.",14,number of urban frame survey ufs blocks households and persons surveyed by age and gender for all india plfs quarterly bulletins are brought out corresponding to different quarters of the survey period giving estimates of labour force indicators viz labour force participation rate lfpr worker population ratio wpr unemployment rate ur distribution of workers by broad status in employment and industry of work in the current weekly status cws for the urban areas twenty such quarterly bulletins starting from the quarter october   december 2018 upto the quarter july september 2023 have already been released
15,Unemployment Rate (UR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,2025-02-18,PLFQAY24024ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_7.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released.",15,unemployment rate ur in per cent according to current weekly status for all india plfs quarterly bulletins are brought out corresponding to different quarters of the survey period giving estimates of labour force indicators viz labour force participation rate lfpr worker population ratio wpr unemployment rate ur distribution of workers by broad status in employment and industry of work in the current weekly status cws for the urban areas twenty such quarterly bulletins starting from the quarter october   december 2018 upto the quarter july september 2023 have already been released
16,Worker Population Ratio (WPR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,2025-02-18,PLFQAY24021ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_3.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released.",16,worker population ratio wpr in per cent according to current weekly status for all india plfs quarterly bulletins are brought out corresponding to different quarters of the survey period giving estimates of labour force indicators viz labour force participation rate lfpr worker population ratio wpr unemployment rate ur distribution of workers by broad status in employment and industry of work in the current weekly status cws for the urban areas twenty such quarterly bulletins starting from the quarter october   december 2018 upto the quarter july september 2023 have already been released
17,Labour Force Participation Rate (LFPR) (in per cent) according to current weekly status for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,2025-02-18,PLFQAY24020ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_2.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released.",17,labour force participation rate lfpr in per cent according to current weekly status for all india plfs quarterly bulletins are brought out corresponding to different quarters of the survey period giving estimates of labour force indicators viz labour force participation rate lfpr worker population ratio wpr unemployment rate ur distribution of workers by broad status in employment and industry of work in the current weekly status cws for the urban areas twenty such quarterly bulletins starting from the quarter october   december 2018 upto the quarter july september 2023 have already been released
18,Percentage distribution of persons of age 15 years and above working according to CWS by broad industry of work for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,2025-02-18,PLFQAY24022ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_4.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released.",18,percentage distribution of persons of age 15 years and above working according to cws by broad industry of work for all india plfs quarterly bulletins are brought out corresponding to different quarters of the survey period giving estimates of labour force indicators viz labour force participation rate lfpr worker population ratio wpr unemployment rate ur distribution of workers by broad status in employment and industry of work in the current weekly status cws for the urban areas twenty such quarterly bulletins starting from the quarter october   december 2018 upto the quarter july september 2023 have already been released
19,Percentage distribution of persons of age 15 years and above working according to CWS by broad status in employment for all India,PLFS,Labour Statistics,All India,Quarterly,2024-25,2025-02-18,PLFQAY24023ANN,https://esankhyiki.mospi.gov.in/datacatalogue/PLFS/Quarterly/PLFS%20Oct-Dec%202024/Table_5.xlsx,National Sample Survey Office,"PLFS Quarterly Bulletins are brought out, corresponding to different quarters of the survey period, giving estimates of labour force indicators, viz., Labour Force Participation Rate (LFPR), Worker Population Ratio (WPR), Unemployment Rate (UR), distribution of workers by broad status in employment and industry of work in the Current Weekly Status (CWS) for the urban areas. Twenty such Quarterly Bulletins starting from the quarter October - December 2018 upto the quarter July – September 2023 have already been released.",19,percentage distribution of persons of age 15 years and above working according to cws by broad status in employment for all india plfs quarterly bulletins are brought out corresponding to different quarters of the survey period giving estimates of labour force indicators viz labour force participation rate lfpr worker population ratio wpr unemployment rate ur distribution of workers by broad status in employment and industry of work in the current weekly status cws for the urban areas twenty such quarterly bulletins starting from the quarter october   december 2018 upto the quarter july september 2023 have already been released
20,Monthly indices and growth rates of industrial production as per use-based classification upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,2025-02-12,IIPMFY24036DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_dec24_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,20,monthly indices and growth rates of industrial production as per use based classification upto dec 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
21,Annual indices and growth rates (%) of industrial production as per use-based classification upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,2025-02-12,IIPMFY24035DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011_12Monthly_annual_dec24_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,21,annual indices and growth rates % of industrial production as per use based classification upto dec 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
22,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,2025-02-12,IIPMFY24033DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_dec24_NIC%202d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,22,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto dec 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
23,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto Dec 2024,IIP,Industrial Statistics,All India,Monthly,Dec 2024,2025-02-12,IIPMFY24034DEC,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_dec24_NIC%202d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,23,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto dec 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
24,Annual NIC-2 digit and sectoral indices and growth rates as per IIP (%) calculated w.r.t. previous year upto Nov 2024,IIP,Industrial Statistics,All India,Monthly,Nov 2024,2025-01-10,IIPMFY24029NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_nov24_NIC%202d_sectoralannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,24,annual nic 2 digit and sectoral indices and growth rates as per iip % calculated wrt previous year upto nov 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
25,Monthly NIC-2 digit and sectoral indices and growth rates of industrial production upto Nov 2024,IIP,Industrial Statistics,All India,Monthly,Nov 2024,2025-01-10,IIPMFY24030NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_nov24_NIC%202d_sectoralmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,25,monthly nic 2 digit and sectoral indices and growth rates of industrial production upto nov 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
26,Annual indices and growth rates (%) of industrial production as per use-based classification upto Nov 2024,IIP,Industrial Statistics,All India,Monthly,Nov 2024,2025-01-10,IIPMFY24031NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011_12Monthly_annual_nov24_UBCannual.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,26,annual indices and growth rates % of industrial production as per use based classification upto nov 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
27,Monthly indices and growth rates of industrial production as per use-based classification upto Nov 2024,IIP,Industrial Statistics,All India,Monthly,Nov 2024,2025-01-10,IIPMFY24032NOV,https://esankhyiki.mospi.gov.in/datacatalogue/IIP/IIP2024-25/IndicesIIP2011-12Monthly_annual_nov24_UBCmonthly.xlsx,"Economic Statistics Division, MoSPI",The all India IIP is a composite indicator that measures the short-term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period. It is compiled and published monthly by MoSPI with a time lag of six weeks from the reference month.,27,monthly indices and growth rates of industrial production as per use based classification upto nov 2024 the all india iip is a composite indicator that measures the short term changes in the volume of production of a basket of industrial products during a given period with respect to that in a chosen base period it is compiled and published monthly by mospi with a time lag of six weeks from the reference month
28,Statement 1: Average Monthly Per Capita Consumption Expenditure (MPCE) (Rs.) and share of food and non-food items in 2023-24: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,2024-12-31,HCESAFY24001ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_1.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",28,statement 1 average monthly per capita consumption expenditure mpce rs and share of food and non food items in 2023 24 all india the household consumption expenditure survey hces is designed to collect information on consumption of goods and services by the households the survey also collects some auxiliary information on household characteristics and demographic particulars of the households information collected in hces is useful for understanding the consumption and expenditure pattern standard of living and well being of the households
29,Statement 2: Trend in level of Consumption since 2011-12: All-India,HCES,National Sample Surveu,All India,As and when requirement arises,2023-24,2024-12-31,HCESAFY24002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/HCES/2023-24/Factsheet/Statement_2.xlsx,National Sample Survey Office,"The Household Consumption Expenditure Survey (HCES) is designed to collect information on consumption of goods and services by the households. The survey also collects some auxiliary information on household characteristics and demographic particulars of the households. Information collected in HCES is useful for understanding the consumption and expenditure pattern, standard of living and well-being of the households.",29,statement 2 trend in level of consumption since 2011 12 all india the household consumption expenditure survey hces is designed to collect information on consumption of goods and services by the households the survey also collects some auxiliary information on household characteristics and demographic particulars of the households information collected in hces is useful for understanding the consumption and expenditure pattern standard of living and well being of the households
30,Table 2: Key aggregate estimates of ASUSE 2022-23 and ASUSE 2023-24 at BAC level (all-India),ASUSE,National Sample Survey,All India,Annual,2023-24,2024-12-31,ASUSEFY24002ANN,https://esankhyiki.mospi.gov.in/datacatalogue/ASUSE/2023-24/Factsheet/Table_2.xlsx,National Sample Survey Office,"Annual Survey of Unincorporated Sector Enterprises (ASUSE) exclusively measures various economic and operational characteristics of unincorporated non-agricultural establishments in manufacturing, trade and other services sector (excluding construction).",30,table 2 key aggregate estimates of asuse 2022 23 and asuse 2023 24 at bac level all india annual survey of unincorporated sector enterprises asuse exclusively measures various economic and operational characteristics of unincorporated non agricultural establishments in manufacturing trade and other services sector excluding construction
